id,vintage_name,ratings_average,year,price_euros,ratings_count
167945269,Cignomoro Primitivo di Manduria 2021,4.5,2021,18.75,32
162964134,Pago de Carraovejas Tinto 2020,4.5,2020,42.95,2129
159319855,Rutini Malbec 2019,4.4,2019,25.99,2567
160549459,Guerrieri Guerriero della Terra 2019,4.4,2019,27.4,1803
161857655,Château Voigny Sauternes 2019,4.4,2019,13.95,143
156098276,San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2018,4.4,2018,24.75,1748
156113777,Matarromera Ribera del Duero Reserva 2018,4.4,2018,39.95,5650
156132702,Tommasi Amarone della Valpolicella Classico 2018,4.4,2018,49.8,1570
150450962,Matarromera Ribera del Duero Reserva 2017,4.4,2017,49.95,4616
152069724,Gitana Lupi Rezerva 2017,4.6,2017,36.55,1155
